orphanet_id,disease_name,gene,inheritance,primary_tissues,prevalence,omim_ids,cohort_role,manual_fact_check_status,source_url,notes,uniprot_url,cds_length_bp
ORPHA:324,Fabry disease,GLA,X-linked dominant,liver; kidney; heart; CNS,1-5/10000,301500,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/324,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P06280,1290
ORPHA:355,Gaucher disease type 1,GBA1,Autosomal recessive,hematopoietic; liver; CNS,1-9/100000,230800,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/355,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P04062,1491
ORPHA:79258,Glycogen storage disease type Ia,G6PC1,Autosomal recessive,liver; kidney,1-9/100000,232200,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/79258,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P35575,1071
ORPHA:1946,Kohlschutter-Tonz syndrome,ROGDI,Autosomal recessive,CNS,<1/1000000,226750,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/1946,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/Q9GZN7,861
ORPHA:487,Krabbe disease,GALC,Autosomal recessive,CNS,1-9/100000,245200,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/487,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P54803,2055
ORPHA:511,Maple syrup urine disease,BCKDHA,Autosomal recessive,liver; CNS,1-9/100000,248600,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/511,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P12694,1335
ORPHA:512,Metachromatic leukodystrophy,ARSA,Autosomal recessive,CNS,1-9/100000,250100,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/512,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P15289,1521
ORPHA:578,Mucolipidosis type IV,MCOLN1,Autosomal recessive,CNS; retina,<1/1000000,252650,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/578,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/Q9GZU1,1740
ORPHA:579,Mucopolysaccharidosis type I (Hurler syndrome),IDUA,Autosomal recessive,CNS; liver,1-9/100000,607014,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/579,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P35475,1962
ORPHA:580,Mucopolysaccharidosis type II (Hunter syndrome),IDS,X-linked recessive,CNS; liver,1-9/100000,309900,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/580,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P22304,1650
ORPHA:79269,Mucopolysaccharidosis type IIIA (Sanfilippo A),SGSH,Autosomal recessive,CNS,1-9/100000,252900,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/79269,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P51688,1674
ORPHA:664,Ornithine transcarbamylase deficiency,OTC,X-linked recessive,liver; CNS,1-9/100000,311250,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/664,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P00480,1065
ORPHA:716,Phenylketonuria,PAH,Autosomal recessive,liver; CNS,1-5/10000,261600,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/716,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P00439,1353
ORPHA:365,Pompe disease,GAA,Autosomal recessive,muscle; heart,1-9/100000,232300,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/365,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P10253,2856
ORPHA:27,Vitamin B12-unresponsive methylmalonic acidemia,MMUT,Autosomal recessive,liver; CNS,1-9/100000,251000,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/27,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P22033,2250
ORPHA:906,Wiskott-Aldrich syndrome,WAS,X-linked recessive,hematopoietic,1-9/1000000,301000,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/906,ex vivo HSC/lentiviral precedent relevance,https://www.uniprot.org/uniprotkb/P42768,1506
ORPHA:43,X-linked adrenoleukodystrophy,ABCD1,X-linked dominant,CNS,1-9/100000,300100,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/43,lentiviral HSC/CNS leukodystrophy precedent relevance,https://www.uniprot.org/uniprotkb/P33897,2235
ORPHA:596,X-linked centronuclear myopathy,MTM1,X-linked recessive,muscle,1-9/100000,310400,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/596,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/Q13496,1878
ORPHA:792,X-linked retinoschisis,RS1,X-linked recessive,retina,1-5/10000,312700,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/792,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/O15537,672
ORPHA:778,Rett syndrome,MECP2,X-linked dominant,CNS,1-5/10000,312750,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/778,X-linked haploinsufficiency of MECP2; gene addition conditional (MECP2 duplication causes distinct disease — dosage window is narrow),https://www.uniprot.org/uniprotkb/P51608,1461
ORPHA:908,Fragile X syndrome,FMR1,X-linked dominant,CNS,1-5/10000,300624,non_lof_repeat_expansion,source_checked,https://www.orpha.net/en/disease/detail/908,CGG repeat expansion silences FMR1 by methylation; cDNA addition bypasses silenced allele; FMR1 protein sequence is normal,https://www.uniprot.org/uniprotkb/Q06787,1899
ORPHA:138,CHARGE syndrome,CHD7,Autosomal dominant,CNS; heart,1-9/100000,214800,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/138,haploinsufficiency; gene addition conditionally compatible; tests chromatin remodeller dosage sensitivity,https://www.uniprot.org/uniprotkb/Q9P2D1,7950
ORPHA:636,Neurofibromatosis type 1,NF1,Autosomal dominant,CNS; peripheral nerve,1-5/1000,162200,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/636,haploinsufficiency tumour suppressor; gene addition conditionally compatible; somatic complexity,https://www.uniprot.org/uniprotkb/P21359,8451
ORPHA:95,Friedreich ataxia,FXN,Autosomal recessive,CNS; heart,1-9/100000,229300,non_lof_repeat_expansion,source_checked,https://www.orpha.net/en/disease/detail/95,GAA repeat expansion silencing frataxin; gene addition conditionally compatible; tests epigenetic silencing scoring,https://www.uniprot.org/uniprotkb/Q16595,633
ORPHA:805,Tuberous sclerosis complex,TSC1,Autosomal dominant,CNS; kidney,1-5/10000,191100,non_lof_haploinsufficiency,source_checked,https://www.orpha.net/en/disease/detail/805,haploinsufficiency mTOR tumour suppressor; gene addition conditionally compatible; tests somatic second-hit complexity,https://www.uniprot.org/uniprotkb/Q92574,3495
ORPHA:586,Cystic fibrosis,CFTR,Autosomal recessive,lung; pancreas; liver,1-5/10000,219700,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/586,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P13569,4443
ORPHA:141,Canavan disease,ASPA,Autosomal recessive,CNS,<1/1000000,271900,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/141,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P45381,942
ORPHA:79241,Biotinidase deficiency,BTD,Autosomal recessive,CNS; multisystem,1-9/100000,253260,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/79241,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P43251,1632
ORPHA:845,Tay-Sachs disease,HEXA,Autosomal recessive,CNS,1-9/100000,272800,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/845,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P06865,1590
ORPHA:905,Wilson disease,ATP7B,Autosomal recessive,liver; CNS,1-5/10000,277900,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/905,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P35670,4398
ORPHA:213,Nephropathic cystinosis,CTNS,Autosomal recessive,kidney; multisystem,<1/1000000,219800,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/213,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/O60931,1104
ORPHA:618891,Chronic neurovisceral acid sphingomyelinase deficiency (Niemann-Pick A/B),SMPD1,Autosomal recessive,liver; spleen; lung; CNS,<1/1000000,607616,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/618891,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P17405,1890
ORPHA:646,Niemann-Pick disease type C,NPC1,Autosomal recessive,CNS; liver,1-9/100000,257220,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/646,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/O15118,3837
ORPHA:912,Zellweger syndrome,PEX1,Autosomal recessive,CNS; liver; kidney,<1/1000000,214100,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/912,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/O43933,3852
ORPHA:93598,Primary hyperoxaluria type 1,AGXT,Autosomal recessive,liver; kidney,1-9/100000,259900,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/93598,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P21549,1179
ORPHA:886,Usher syndrome type 1B,MYO7A,Autosomal recessive,retina; cochlea,1-9/100000,276900,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/886,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/Q13402,6648
